aah	a·h
intervened	i·ntu·hvIynd
intervene	i·ntu·hvIyn
intervenes	i·ntu·hvIynz
intervening	i·ntu·hvIyni·ng
interventionism	i·ntu·hve·nshni·zu·hm
interventionist	i·ntu·hve·nshni·st
interventionists	i·ntu·hve·nshni·sts
intervention	i·ntu·hve·nshn
interventions	i·ntu·hve·nshnz
interviewed	i·ntu·hvyoo·d
interviewee	i·ntu·hvyoo·Iy
interviewees	i·ntu·hvyoo·Iyz
interviewer	i·ntu·hvyoou·h
interviewers	i·ntu·hvyoou·hz
interviewing	i·ntu·hvyooi·ng
interview	i·ntu·hvyoo
interviews	i·ntu·hvyoo·z
interwar	i·ntu·hwa·wː
interweaved	i·ntu·hwIyvd
interweave	i·ntu·hwIyv
interweaves	i·ntu·hwIyvz
interweaving	i·ntu·hwIyvi·ng
interwoven	i·ntu·hwo·hvu·hn
intestacy	i·nte·stu·hsi
intestate	i·nti·ste·yt
intestinal	i·nte·sti·nu·hl
intestine	i·nte·sti·n
intestines	i·nte·sti·nz
intifada	i·nti·fa·hdu·h
intimacies	i·nti·mu·hsi·z
intimacy	i·nti·mu·hsi
intimated	i·nti·me·yti·d
intimately	i·nti·mu·htli
intimating	i·nti·me·yti·ng
intimation	i·nti·me·yshn
intimations	i·nti·me·yshnz
intimidated	i·nti·mi·de·yti·d
intimidate	i·nti·mi·de·yt
intimidates	i·nti·mi·de·yts
intimidatingly	i·nti·mi·de·yti·ngli
intimidating	i·nti·mi·de·yti·ng
intimidation	i·nti·mi·de·yshn
intimidatory	i·nti·mi·du·htu·hri
inti	i·ntai
intolerable	i·ntɒlu·hru·hbu·hl
intolerably	i·ntɒlu·hru·hbli
intolerance	i·ntɒlu·hru·hns
intolerant	i·ntɒlu·hru·hnt
intonation	i·ntu·hne·yshn
intonations	i·ntu·hne·yshnz
intoned	i·ntownd
intone	i·ntown
intones	i·ntownz
into	i·ntu
intoxicant	i·ntɒksi·ku·hnt
intoxicants	i·ntɒksi·ku·hnts
intoxicated	i·ntɒksi·ke·yti·d
intoxicate	i·ntɒksi·ke·yt
intoxicates	i·ntɒksi·ke·yts
intoxicating	i·ntɒksi·ke·yti·ng
intoxication	i·ntɒksi·ke·yshn
intracardiac	i·ntru·hka·hdia·k
intracranial	i·ntru·hkre·yniu·hl
intractable	i·ntra·ktu·hbu·hl
intramural	i·ntru·hmyu·ru·hl
intramuscular	i·ntru·hmu·hskyu·lu·h
intranet	i·ntru·hne·t
intransigence	i·ntra·nsi·ju·hns
intransigent	i·ntra·nsi·ju·hnt
intransitive	i·ntra·nsi·ti·v
intraocular	i·ntru·hrɒkyu·lu·h
intrauterine	i·ntru·hyoo·tu·hrIyn
intravenously	i·ntru·hvu·hnu·hsli
intravenous	i·ntru·hvu·hnu·hs
intrepidly	i·ntre·pi·dli
intrepid	i·ntre·pi·d
intricacies	i·ntri·ku·hsi·z
intricacy	i·ntri·ku·hsi
intricately	i·ntri·ku·htli
intricate	i·ntri·ku·ht
intrigued	i·ntrIygd
intriguer	i·ntrIygu·h
intriguers	i·ntrIygu·hz
intrigues	i·ntrIygz
intriguingly	i·ntrIygi·ngli
intriguing	i·ntrIygi·ng
intrinsically	i·ntri·nzi·kli
intrinsic	i·ntri·nzi·k
introduced	i·ntru·hdyoo·st
introduce	i·ntru·hdyoo·s
introduces	i·ntru·hdyoo·si·z
introducing	i·ntru·hdyoo·si·ng
introduction	i·ntru·hdu·hkshn
introductions	i·ntru·hdu·hkshnz
introductory	i·ntru·hdu·hktu·hri
intros	i·ntro·hz
introspection	i·ntru·hspe·kshn
introspective	i·ntru·hspe·kti·v
introversion	i·ntru·hvɜːshn
introverted	i·ntru·hvɜːti·d
intruded	i·ntroo·di·d
intrude	i·ntroo·d
intruder	i·ntroo·du·h
intruders	i·ntroo·du·hz
intrudes	i·ntroo·dz
intruding	i·ntroo·di·ng
intrusion	i·ntroo·zhu·hn
intrusions	i·ntroo·zhu·hnz
intrusively	i·ntroo·si·vli
intrusive	i·ntroo·si·v
intubate	i·ntyoo·be·yt
intuited	i·ntyooi·ti·d
intuition	i·ntyooi·shn
intuitions	i·ntyooi·shnz
intuitively	i·ntyooi·ti·vli
intuitive	i·ntyooi·ti·v
intuit	i·ntyooi·t
intumescent	i·ntyoo·me·su·hnt
intussusception	i·ntu·hsu·hske·pshn
inundated	i·nu·hnde·yti·d
inundate	i·nu·hnde·yt
inundates	i·nu·hnde·yts
inundating	i·nu·hnde·yti·ng
inundation	i·nu·hnde·yshn
inured	i·nya·wːd
inure	i·nya·wː
invaded	i·nve·ydi·d
invade	i·nve·yd
invader	i·nve·ydu·h
invaders	i·nve·ydu·hz
invades	i·nve·ydz
invading	i·nve·ydi·ng
invaginations	i·nva·ji·ne·yshnz
invalidated	i·nva·li·de·yti·d
invalidate	i·nva·li·de·yt
invalidates	i·nva·li·de·yts
invalidating	i·nva·li·de·yti·ng
invalided	i·nva·lai·di·d
invalidity	i·nva·li·di·ti
invalids	i·nva·li·dz
invaluable	i·nva·lyoou·hbu·hl
invariable	i·nveu·hriu·hbu·hl
invariably	i·nveu·hriu·hbli
invariant	i·nveu·hriu·hnt
invasion	i·nve·yzhu·hn
invasions	i·nve·yzhu·hnz
invasive	i·nve·ysi·v
invective	i·nve·kti·v
inveigled	i·nve·ygu·hld
inveigle	i·nve·ygu·hl
inveigling	i·nve·ygli·ng
invented	i·nve·nti·d
inventing	i·nve·nti·ng
invention	i·nve·nshn
inventions	i·nve·nshnz
inventively	i·nve·nti·vli
inventiveness	i·nve·nti·vnu·hs
inventive	i·nve·nti·v
invent	i·nve·nt
inventoried	i·nvu·hntri·d
inventories	i·nvu·hntri·z
inventor	i·nve·ntu·h
inventors	i·nve·ntu·hz
inventory	i·nvu·hntri
invents	i·nve·nts
inversely	i·nvɜːsli
inverses	i·nvɜːsi·z
inversion	i·nvɜːshn
inversions	i·nvɜːshnz
invertebrate	i·nvɜːti·bre·yt
invertebrates	i·nvɜːti·bre·yts
inverted	i·nvɜːti·d
inverter	i·nvɜːtu·h
inverting	i·nvɜːti·ng
inverts	i·nvɜːts
invested	i·nve·sti·d
investigated	i·nve·sti·ge·yti·d
investigate	i·nve·sti·ge·yt
investigates	i·nve·sti·ge·yts
investigating	i·nve·sti·ge·yti·ng
investigation	i·nve·sti·ge·yshn
investigations	i·nve·sti·ge·yshnz
investigative	i·nve·sti·gu·hti·v
investigator	i·nve·sti·ge·ytu·h
investigators	i·nve·sti·ge·ytu·hz
investigatory	i·nve·sti·gu·htu·hri
investing	i·nve·sti·ng
investiture	i·nve·sti·chu·h
investitures	i·nve·sti·chu·hz
investment	i·nve·stmu·hnt
investments	i·nve·stmu·hnts
invest	i·nve·st
investor	i·nve·stu·h
investors	i·nve·stu·hz
invests	i·nve·sts
inveterate	i·nve·tu·hre·yt
invidious	i·nvi·diu·hs
invigilate	i·nvi·ji·le·yt
invigilating	i·nvi·ji·le·yti·ng
invigilator	i·nvi·ji·le·ytu·h
invigilators	i·nvi·ji·le·ytu·hz
invigorated	i·nvi·gu·hre·yti·d
invigorate	i·nvi·gu·hre·yt
invigorates	i·nvi·gu·hre·yts
invigorating	i·nvi·gu·hre·yti·ng
invigoration	i·nvi·gu·hre·yshn
invincibility	i·nvi·nsi·bi·li·ti
invincible	i·nvi·nsu·hbu·hl
inviolable	i·nvaiu·hlu·hbu·hl
inviolate	i·nvaiu·hle·yt
invisibility	i·nvi·zu·hbi·li·ti
invisible	i·nvi·zu·hbu·hl
invisibly	i·nvi·zu·hbli
invitational	i·nvi·te·yshnu·hl
invitation	i·nvi·te·yshn
invitations	i·nvi·te·yshnz
invited	i·nvai·ti·d
invitees	i·nvai·tIyz
invitingly	i·nvai·ti·ngli
inviting	i·nvai·ti·ng
invocation	i·nvo·hke·yshn
invocations	i·nvo·hke·yshnz
invoiced	i·nvo·yst
invoice	i·nvo·ys
invoices	i·nvo·ysi·z
invoicing	i·nvo·ysi·ng
invoked	i·nvo·hkt
invoke	i·nvo·hk
invokes	i·nvo·hks
invoking	i·nvo·hki·ng
involuntarily	i·nvɒlu·hnte·ru·hli
involuntary	i·nvɒlu·hntu·hri
involved	i·nvɒlvd
involvement	i·nvɒlvmu·hnt
involvements	i·nvɒlvmu·hnts
involve	i·nvɒlv
involves	i·nvɒlvz
involving	i·nvɒlvi·ng
invulnerability	i·nvu·hlnu·hru·hbi·li·ti
invulnerable	i·nvu·hlnu·hru·hbu·hl
inwardly	i·nwu·hdli
inwardness	i·nwu·hdnu·hs
inward	i·nwu·hd
inwards	i·nwu·hdz
iodide	aiu·hdai·d
iodine	aiu·hdIyn
ion	ai·ɒn
ionic	ai·ɒni·k
ionisation	aiu·hnai·ze·yshn
ionise	aiu·hnai·z
ionised	aiu·hnai·zd
ionising	aiu·hnai·zi·ng
ionosphere	aiu·hnɒsfiu·h
ions	ai·ɒnz
iota	aio·htu·h
ipecac	ai·pka·k
ipomoea	ai·pu·hmiu·h
irascible	i·ra·su·hbu·hl
irate	ai·re·yt
ire	aiu·h
iridescence	i·ri·de·su·hns
iridescent	i·ri·de·su·hnt
iridium	i·ri·diu·hm
iris	ai·ri·s
irises	ai·ri·si·z
iritis	i·rai·ti·s
irked	ɜːkt
irk	ɜːk
irks	ɜːks
irksome	ɜːksu·hm
iron	aiu·hn
ironclad	aiu·hngkla·d
ironclads	aiu·hngkla·dz
ironed	aiu·hnd
ironer	aiu·hnu·h
ironical	ai·rɒni·ku·hl
ironically	ai·rɒni·kli
ironic	ai·rɒni·k
ironies	ai·ru·hni·z
ironing	aiu·hni·ng
ironmaster	aiu·hnma·hstu·h
ironmonger	aiu·hnmu·hnggu·h
ironmongers	aiu·hnmu·hnggu·hz
ironmongery	aiu·hnmu·hnggu·hri
irons	aiu·hnz
ironsides	aiu·hnsai·dz
ironstone	aiu·hnstown
ironweed	aiu·hnwIyd
ironwood	aiu·hnwu·d
ironwork	aiu·hnwɜːk
ironworker	aiu·hnwɜːku·h
ironworkers	aiu·hnwɜːku·hz
ironworks	aiu·hnwɜːks
irradiated	i·re·ydie·yti·d
irradiate	i·re·ydie·yt
irrational	i·ra·shnu·hl
irrationality	i·ra·shna·li·ti
irrationally	i·ra·shnu·hli
irreconcilable	i·re·ku·hnsai·lu·hbu·hl
irrecoverable	i·ri·ku·hvu·hru·hbu·hl
irredeemable	i·ri·dIymu·hbu·hl
irredeemably	i·ri·dIymu·hbli
irreducible	i·ri·dyoo·su·hbu·hl
irrefutable	i·ri·fyoo·tu·hbu·hl
irrefutably	i·ri·fyoo·tu·hbli
irregular	i·re·gyoo·lu·h
irregularities	i·re·gyoo·la·ri·ti·z
irregularity	i·re·gyoo·la·ri·ti
irregularly	i·re·gyoo·lu·hli
irregulars	i·re·gyoo·lu·hz
irrelevance	i·re·li·vu·hns
irrelevancy	i·re·li·vu·hnsi
irrelevant	i·re·li·vu·hnt
irreligious	i·ri·li·ju·hs
irreparable	i·re·pu·hru·hbu·hl
irreparably	i·ri·pa·hru·hbli
irreplaceable	i·ri·ple·ysu·hbu·hl
irrepressible	i·ri·pre·su·hbu·hl
irrepressibly	i·ri·pre·su·hbli
irreproachable	i·ri·pro·hchu·hbu·hl
irresistibility	i·ri·si·sti·bi·li·ti
irresistible	i·ri·si·stu·hbu·hl
irresistibly	i·ri·si·stu·hbli
irresolution	i·re·zu·hloo·shn
irrespective	i·ri·spe·kti·v
irresponsibility	i·ri·spɒnsu·hbi·li·ti
irresponsible	i·ri·spɒnsu·hbu·hl
irresponsibly	i·ri·spɒnsu·hbli
irretrievable	i·ri·trIyvu·hbu·hl
irretrievably	i·ri·trIyvu·hbli
irreverence	i·re·vru·hns
irreverent	i·re·vru·hnt
irreverently	i·re·vru·hntli
irreversible	i·ri·vɜːsu·hbu·hl
irreversibly	i·ri·vɜːsu·hbli
irrevocable	i·ri·vɒku·hbu·hl
irrevocably	i·ri·vɒku·hbli
irrigated	i·ri·ge·yti·d
irrigate	i·ri·ge·yt
irrigating	i·ri·ge·yti·ng
irrigation	i·ri·ge·yshn
irritability	i·ri·tu·hbi·li·ti
irritable	i·ri·tu·hbu·hl
irritably	i·ri·tu·hbli
irritants	i·ri·tu·hnts
irritant	i·ri·tu·hnt
irritated	i·ri·te·yti·d
irritates	i·ri·te·yts
irritate	i·ri·te·yt
irritatingly	i·ri·te·yti·ngli
irritating	i·ri·te·yti·ng
irritations	i·ri·te·yshnz
irritation	i·ri·te·yshn
ischaemia	i·skIymiu·h
ischaemic	i·skIymi·k
ischia	i·skiu·h
ischium	i·schiu·hm
isinglass	i·si·nggla·hs
island	ai·lu·hnd
islander	ai·lu·hndu·h
islanders	ai·lu·hndu·hz
islands	ai·lu·hndz
isle	aiu·hl
isles	aiu·hlz
islet	ai·lu·ht
islets	ai·lu·hts
isms	i·zu·hmz
ism	i·zu·hm
isobar	ai·su·hba·h
isobars	ai·su·hba·hz
isolated	ai·su·hle·yti·d
isolates	ai·su·hle·yts
isolating	ai·su·hle·yti·ng
isolation	ai·su·hle·yshn
isolationism	ai·su·hle·yshni·zu·hm
isolationist	ai·su·hle·yshni·st
isolationists	ai·su·hle·yshni·sts
isolator	ai·su·hle·ytu·h
isolators	ai·su·hle·ytu·hz
isomer	ai·su·hmu·h
isomers	ai·su·hmu·hz
isometric	ai·so·hme·tri·k
isomorphic	ai·su·hma·wːfi·k
isopod	ai·su·hpɒd
isopods	ai·su·hpɒdz
isopropanol	ai·su·hpro·hpu·hnɒl
isopropyl	ai·su·hpro·hpai·l
isosceles	ai·sɒsu·hlIyz
isotherm	ai·su·hthɜːm
isotone	ai·su·htown
isotonic	ai·su·htɒni·k
isotope	ai·su·htowp
isotopes	ai·su·htowps
isotopic	ai·su·htɒpi·k
issuance	i·syoou·hns
issued	i·shoo·d
issuers	i·shoou·hz
issuer	i·shoou·h
issues	i·shoo·z
issue	i·shoo
issuing	i·shooi·ng
isthmian	i·sthmiu·hn
isthmuses	i·sthmyoo·si·z
isthmus	i·sthmu·hs
is	i·z
italics	i·ta·li·ks
italic	i·ta·li·k
itched	i·cht
itches	i·chi·z
itchiness	i·chi·nu·hs
itching	i·chi·ng
itch	i·ch
itchy	i·chi
item	ai·tu·hm
itemise	ai·tu·hmai·z
itemised	ai·tu·hmai·zd
itemiser	ai·tu·hmai·zu·h
itemises	ai·tu·hmai·zi·z
itemising	ai·tu·hmai·zi·ng
items	ai·tu·hmz
iterated	i·tu·hre·yti·d
iterate	i·tu·hre·yt
iterating	i·tu·hre·yti·ng
iterations	i·tu·hre·yshnz
iteration	i·tu·hre·yshn
iterative	i·tu·hru·hti·v
itinerant	ai·ti·nu·hru·hnt
itinerants	ai·ti·nu·hru·hnts
itineraries	ai·ti·nu·hru·hri·z
itinerary	ai·ti·nu·hru·hri
itself	i·tse·lf
its	i·ts
it	i·t
ivies	ai·vi·z
ivories	ai·vu·hri·z
ivory	ai·vu·hri
ivy	ai·vi
izzard	i·zu·hd
jabbed	ja·bd
jabber	ja·bu·h
jabbering	ja·bu·hri·ng
jabbers	ja·bu·hz
jabberwocky	ja·bu·hwɒki
jabbing	ja·bi·ng
jab	ja·b
jabiru	ja·bu·hroo
jabot	ja·bɒt
jabs	ja·bz
jacaranda	ja·ku·hra·ndu·h
jackal	ja·ku·hl
jackals	ja·ku·hlz
jackanapes	ja·ku·hne·yps
jackass	ja·ka·s
jackasses	ja·ka·si·z
jackboot	ja·kboo·t
jackboots	ja·kboo·ts
jackdaw	ja·kda·wː
jackdaws	ja·kda·wːz
jack	ja·k
jacked	ja·kt
jacket	ja·ki·t
jacketed	ja·ki·ti·d
jackets	ja·ki·ts
jackfruit	ja·kfroo·t
jackhammer	ja·kha·mu·h
jackhammers	ja·ka·mu·hz
jacking	ja·ki·ng
jackknifed	ja·knai·ft
jackknife	ja·knai·f
jackknifing	ja·knai·fi·ng
jackknives	ja·knai·vz
jackpot	ja·kpɒt
jackpots	ja·kpɒts
jackrabbit	ja·kru·hbi·t
jackrabbits	ja·kru·hbi·ts
jacks	ja·ks
jacobus	ja·kɒbu·hs
jacquard	ja·ka·hd
jactitation	ja·kti·te·yshn
jacuzzi	ju·hkoo·zi
jaded	je·ydi·d
jade	je·yd
jadeite	je·ydai·t
jades	je·ydz
jaeger	je·ygu·h
jag	ja·g
jaggedness	ja·gi·dnu·hs
jaggery	ja·gu·hri
jaggy	ja·gi
jags	ja·gz
jaguar	ja·gwa·h
jaguars	ja·gwa·hz
jailbird	je·ylbɜːd
jailbirds	je·ylbɜːdz
jailbreak	je·ylbre·yk
jail	je·yl
jailed	je·yld
jailer	je·ylu·h
jailers	je·ylu·hz
jailhouse	je·ylho·ws
jailing	je·yli·ng
jailor	je·ylu·h
jailors	je·ylu·hz
jails	je·ylz
ja	ya·h
jakes	je·yks
jalopies	ju·hlɒpi·z
jalopy	ju·hlɒpi
jambalaya	ja·mbu·hle·yu·h
jamb	ja·m
jamboree	ja·mba·wːrIy
jamborees	ja·mba·wːrIyz
jambs	ja·mz
jam	ja·m
jammed	ja·md
jammer	ja·mu·h
jammiest	ja·miu·hst
jamming	ja·mi·ng
jammy	ja·mi
jampacked	ja·mpa·kt
jams	ja·mz
jane	je·yn
jangled	ja·nggu·hld
jangle	ja·nggu·hl
jangles	ja·nggu·hlz
jangling	ja·nggu·hli·ng
jangly	ja·ngli
janitor	ja·ni·tu·h
janitorial	ja·ni·ta·wːriu·hl
janitors	ja·ni·tu·hz
japan	ju·hpa·n
japanned	ju·hpa·nd
japanning	ju·hpa·ni·ng
jape	je·yp
japer	je·ypu·h
japes	je·yps
japing	je·ypi·ng
japonica	ja·pɒni·ku·h
japonicas	ja·pɒni·ku·hz
jar	ja·h
jarl	ja·hl
jarred	ja·hd
jarring	ja·hri·ng
jars	ja·hz
jasmine	ja·zmi·n
jasmines	ja·zmi·nz
jasper	ja·hspu·h
jaundiced	ja·wːndi·st
jaundice	ja·wːndi·s
jaunt	ja·wːnt
jauntily	ja·wːnti·li
jauntiness	ja·wːnti·nu·hs
jaunting	ja·wːnti·ng
jaunts	ja·wːnts
jaunty	ja·wːnti
java	ja·hvu·h
javelin	ja·vi·li·n
javelins	ja·vi·li·nz
jawbone	ja·wːbo·hn
jawbones	ja·wːbo·hnz
jawbreaker	ja·wːbre·yku·h
jawbreakers	ja·wːbre·yku·hz
jaw	ja·wː
jawed	ja·wːd
jawing	ja·wːri·ng
jawless	ja·wːlu·hs
jawline	ja·wːlai·n
jaws	ja·wːz
jaybird	je·ybɜːd
jay	je·y
jays	je·yz
jaywalker	je·ywa·wːku·h
jaywalking	je·ywa·wːki·ng
jazz	ja·z
jazzed	ja·zd
jazzier	ja·ziu·h
jazzing	ja·zi·ng
jazzman	ja·zmu·hn
jazzmen	ja·zme·n
jazzy	ja·zi
j	je·y
jealous	je·lu·hs
jealousies	je·lu·hsi·z
jealously	je·lu·hsli
jealousy	je·lu·hsi
jean	jIyn
jeans	jIynz
jebel	je·bu·hl
jeep	jIyp
jeepers	jIypu·hz
jeeps	jIyps
jeer	jiu·h
jeered	jiu·hd
jeering	jiu·hri·ng
jeers	jiu·hz
jeez	jIyz
jefe	jIyf
jejune	je·jyoo·n
jell	je·l
jellied	je·li·d
jellies	je·li·z
jellified	je·li·fai·d
jelling	je·li·ng
jello	je·lo·h
jellybean	je·li·bIyn
jellybeans	je·li·bIynz
jelly	je·li
jellyfish	je·li·fi·sh
jellyfishes	je·li·fi·shi·z
jemadar	je·ma·du·h
jemmied	je·mi·d
jemmy	je·mi
jennet	je·ni·t
jennies	je·ni·z
jenny	je·ni
jeopardised	je·pu·hdai·zd
jeopardise	je·pu·hdai·z
jeopardises	je·pu·hdai·zi·z
jeopardising	je·pu·hdai·zi·ng
jeopardy	je·pu·hdi
jerboa	jɜːbo·hu·h
jerk	jɜːk
jerked	jɜːkt
jerkily	jɜːki·li
jerkin	jɜːki·n
jerking	jɜːki·ng
jerkins	jɜːki·nz
jerks	jɜːks
jerky	jɜːki
jeroboam	je·ru·hbo·hu·hm
jerrycan	je·ri·ku·hn
jerry	je·ri
jersey	jɜːsi
jerseys	jɜːsi·z
jess	je·s
jest	je·st
jested	je·sti·d
jester	je·stu·h
jesters	je·stu·hz
jesting	je·sti·ng
jests	je·sts
jet	je·t
jetlag	je·tla·g
jetliner	je·tlai·nu·h
jetliners	je·tlai·nu·hz
jetsam	je·tsu·hm
jets	je·ts
jetted	je·ti·d
jetties	je·ti·z
jetting	je·ti·ng
jettison	je·ti·su·hn
jettisoned	je·ti·su·hnd
jettisoning	je·ti·su·hni·ng
jettisons	je·ti·su·hnz
jetty	je·ti
jewel	joou·hl
jewelled	joou·hld
jeweller	joou·hlu·h
jewellers	joou·hlu·hz
jewellery	joou·hlu·hri
jewelling	joou·hli·ng
jewelry	joou·hlri
jewels	joou·hlz
jezebel	je·ze·bu·hl
jg	je·yjIy
jibbed	ji·bd
jibber	ji·bu·h
jibbing	ji·bi·ng
jib	ji·b
jibe	jai·b
jibes	jai·bz
jibing	jai·bi·ng
jibs	ji·bz
jiff	ji·f
jiffy	ji·fi
jig	ji·g
jigged	ji·gd
jigger	ji·gu·h
jiggered	ji·gu·hd
jiggering	ji·gu·hri·ng
jigging	ji·gi·ng
jiggled	ji·gu·hld
jiggle	ji·gu·hl
jiggles	ji·gu·hlz
jiggliest	ji·gliu·hst
jiggling	ji·gli·ng
jiggly	ji·gli
jigsaw	ji·gsa·wː
jigsaws	ji·gsa·wːz
jigs	ji·gz
jihad	ji·ha·hd
jill	ji·l
jilt	ji·lt
jilted	ji·lti·d
jilting	ji·lti·ng
jimjams	ji·mja·mz
jimmied	ji·mi·d
jimmies	ji·mi·z
jimmy	ji·mi
jingled	ji·nggu·hld
jingle	ji·nggu·hl
jingles	ji·nggu·hlz
jingling	ji·nggu·hli·ng
jingly	ji·ngli
jingo	ji·nggo·h
jingoism	ji·nggo·hi·zu·hm
jingoistic	ji·nggo·hi·sti·k
jink	ji·ngk
jinked	ji·ngkt
jinking	ji·ngki·ng
jinks	ji·ngks
jinn	ji·n
jinx	ji·ngks
jinxed	ji·ngkst
jinxes	ji·ngksi·z
jinxing	ji·ngksi·ng
jitterbug	ji·tu·hbu·hg
jitterbugging	ji·tu·hbu·hgi·ng
jitter	ji·tu·h
jitteriness	ji·tu·hri·nu·hs
jitters	ji·tu·hz
jittery	ji·tu·hri
jived	jai·vd
jive	jai·v
jiver	jai·vu·h
jives	jai·vz
jiving	jai·vi·ng
joannes	jo·ha·nz
jobber	jɒbu·h
jobbers	jɒbu·hz
jobbing	jɒbi·ng
jobless	jɒblu·hs
joblessness	jɒblu·hsnu·hs
jobs	jɒbz
jobsworth	jɒbswɜːth
jobsworths	jɒbswɜːths
jock	jɒk
jockey	jɒki
jockeyed	jɒki·d
jockeying	jɒkii·ng
jockeys	jɒki·z
jocko	jɒko·h
jocks	jɒks
jockstrap	jɒkstra·p
jockstraps	jɒkstra·ps
jocular	jɒkyu·lu·h
jocularity	jɒkyu·la·ri·ti
jocularly	jɒkyu·lu·hli
jocund	jɒku·hnd
jodhpur	jɒdpa·wː
jodhpurs	jɒdpa·wːz
jo	jo·h
joey	jo·hi
joeys	jo·hi·z
jog	jɒg
jogged	jɒgd
jogger	jɒgu·h
joggers	jɒgu·hz
jogging	jɒgi·ng
joggled	jɒgu·hld
joggle	jɒgu·hl
joggling	jɒgli·ng
jogs	jɒgz
johannes	jo·hha·nz
john	jɒn
johnnies	jɒni·z
johnny	jɒni
johns	jɒnz
join	jo·yn
joined	jo·ynd
joiner	jo·ynu·h
joiners	jo·ynu·hz
joinery	jo·ynu·hri
joining	jo·yni·ng
joins	jo·ynz
joint	jo·ynt
jointed	jo·ynti·d
jointer	jo·yntu·h
jointing	jo·ynti·ng
jointly	jo·yntli
joints	jo·ynts
jointure	jo·ynchu·h
joist	jo·yst
joists	jo·ysts
jojoba	ju·hjo·hbu·h
joked	jo·hkt
joke	jo·hk
joker	jo·hku·h
jokers	jo·hku·hz
jokes	jo·hks
jokester	jo·hkstu·h
jokey	jo·hki
jokiest	jo·hkiu·hst
jokily	jo·hki·li
joking	jo·hki·ng
jokingly	jo·hki·ngli
jollied	jɒli·d
jollier	jɒliu·h
jollies	jɒli·z
jolliest	jɒliu·hst
jollification	jɒli·fi·ke·yshn
jolliness	jɒli·nu·hs
jollity	jɒli·ti
jolly	jɒli
jollying	jɒlii·ng
jolt	jo·hlt
jolted	jo·hlti·d
jolting	jo·hlti·ng
jolts	jo·hlts
jolty	jo·hlti
jongleurs	jɒngglɜːz
jonquil	jɒnkwi·l
jook	ju·k
josh	jɒsh
joshing	jɒshi·ng
joss	jɒs
jostled	jɒsu·hld
jostle	jɒsu·hl
jostles	jɒsu·hlz
jostling	jɒsli·ng
jot	jɒt
jots	jɒts
jotted	jɒti·d
jotter	jɒtu·h
jotters	jɒtu·hz
jotting	jɒti·ng
jottings	jɒti·ngz
joule	joo·l
joules	joo·lz
journal	jɜːnu·hl
journalese	jɜːne·ylIyz
journalism	jɜːnu·hli·zu·hm
journalist	jɜːnu·hli·st
journalistically	jɜːnu·hli·sti·kli
journalistic	jɜːnu·hli·sti·k
journalists	jɜːnu·hli·sts
journals	jɜːnu·hlz
journey	jɜːni
journeyed	jɜːni·d
journeying	jɜːnii·ng
journeyman	jɜːni·mu·hn
journeymen	jɜːni·me·n
journeys	jɜːni·z
journo	jɜːno·h
journos	jɜːno·hz
joust	jo·wst
jousted	jo·wsti·d
jouster	jo·wstu·h
jousters	jo·wstu·hz
jousting	jo·wsti·ng
jousts	jo·wsts
jovial	jo·hviu·hl
joviality	jo·hvia·li·ti
jovially	jo·hviu·hli
jowl	jo·wl
jowls	jo·wlz
jowly	jo·wli
joy	jo·y
joyed	jo·yd
joyful	jo·yfu·hl
joyfully	jo·yfu·hli
joyfulness	jo·yfu·hlnu·hs
joying	jo·yi·ng
joyless	jo·ylu·hs
joyous	jo·yu·hs
joyously	jo·yu·hsli
joyousness	jo·yu·hsnu·hs
joyride	jo·yrai·d
joyrider	jo·yrai·du·h
joyriders	jo·yrai·du·hz
joyriding	jo·yrai·di·ng
joys	jo·yz
joystick	jo·ysti·k
joysticks	jo·ysti·ks
juba	joo·bu·h
jubilant	joo·bi·lu·hnt
jubilantly	joo·bi·lu·hntli
jubilation	joo·bi·le·yshn
jubilee	joo·bi·lIy
jubilees	joo·bi·lIyz
judder	ju·hdu·h
juddered	ju·hdu·hd
juddering	ju·hdu·hri·ng
judged	ju·hjd
judge	ju·hj
judgemental	ju·hjme·ntu·hl
judgement	ju·hjmu·hnt
judgements	ju·hjmu·hnts
judges	ju·hji·z
judging	ju·hji·ng
judgmental	ju·hjme·ntu·hl
judgment	ju·hjmu·hnt
judgments	ju·hjmu·hnts
judicial	joo·di·shu·hl
judicially	joo·di·shu·hli
judiciaries	joo·di·shu·hri·z
judiciary	joo·di·shu·hri
judicious	joo·di·shu·hs
judiciously	joo·di·shu·hsli
judo	joo·do·h
jug	ju·hg
jugged	ju·hgd
juggernaut	ju·hgu·hna·wːt
juggernauts	ju·hgu·hna·wːts
juggins	ju·hgi·nz
juggled	ju·hgu·hld
juggle	ju·hgu·hl
juggler	ju·hglu·h
jugglers	ju·hglu·hz
juggles	ju·hgu·hlz
juggling	ju·hgli·ng
jughead	ju·hghe·d
jugs	ju·hgz
jugular	joo·gyu·lu·h
juiced	joo·st
juice	joo·s
juicer	joo·su·h
juicers	joo·su·hz
juices	joo·si·z
juicier	joo·siu·h
juiciest	joo·siu·hst
juiciness	joo·si·ne·s
juicing	joo·si·ng
juicy	joo·si
jujitsu	joo·ji·tsoo
jujubes	joo·joo·bz
juju	joo·joo
jukebox	joo·kbɒks
jukeboxes	joo·kbɒksi·z
juke	joo·k
julep	joo·le·p
juleps	joo·le·ps
julienne	joo·lie·n
